,Address:,Architects:,Building completed,Demolished,Name of Building:,Notes:,Type of Building:
1479,0 Weston Road,Baird Sampson Architects. (firm),,,Maybank Housing Project,,Housing
1480,369 Carlaw Avenue,Salisbury Albert,1921-1922,,Toronto Hydro Substation,,Hydro-Electric Stations
1481,38 Cecil Street,,,,Ontario Hydro Substation,,Hydro-Electric Stations
1482,451 Davenport Road,Lennox Edward,1904,,,,Hydro-Electric Stations
1483,4969 Dundas Street West,,,,Etobicoke Hydro Electric Bldg,,Hydro-Electric Stations
1484,640 Millwood Road,,,,,,Hydro-Electric Stations
1485,0 Parkhurst Boulevard,,,,Parkhurst Station,,Hydro-Electric Stations
1486,518 Runnymead Road,,,,,,Hydro-Electric Stations
1487,555 Spadina Road,,,,Toronto Hydro Substation,,Hydro-Electric Stations
1488,2 Strachan Avenue,,1851-1948,1996,Inglis Industrial Complex,SEE ALSO:  Ingis Plate Shop at no.14 Strachan Ave.,Industrial Complexes
1489,0 Front Street East,Howard John,1840,c1880s,Jail,,Jails
1490,550 Gerrard Street East,Thomas William,1857-1864,,Don Jail,"Known earlier as the Toronto Jail.  Built in 1858, but re-built  in 1865 after a fire.  Will be restored and become part of the Riverdale Hospital.  The red-brick Toronto Jail, on the north side of the property, was built in the 1950s, and will be demolished to make way for a long-term care building.",Jails
1491,0 Front Street West,"Chewett J.G.
Cumberland & Storm (firm)
Curry Samuel
Ewart John
Howard John
Rogers Thomas",1829-1832,1903,Provincial Parliament Buildings (3rd),"Occupied the area known as Simcoe Place, a parcel of land bounded by Front, John, Simcoe and Wellington Streets.",Legislative Buildings
1492,0 Parliament Street,,c1794,1813,Provincial Parliament Buildings (2nd),Situated at the foot of Parliament Street. Consisted of two brick and wood buildings connected by a covered walkway.  They were burned down by American troops on 27th April 1813.,Legislative Buildings
1493,1 Queen's Park,"Adamson Associates (firm)
Allward & Gouinlock (firm)
Fletcher Fred
Lennox Edward
Mathers & Haldenby (firm)
Shore & Moffatt (firm)
Ventin Carlos
Waite Richard",1886-1892,,Provincial Parliament Buildings (current),"A fire destroyed part of the west wing in 1909.  A north wing was completed in 1912.    SEE ALSO:  Provincial Parliament Buildings - East Block (for the 1924-1928 east portion of the Legislative Buildings, often referred to as the ""Whitney Block"").",Legislative Buildings
1494,0 Queen's Park Crescent E.,Heakes F.R.,,,Provincial Parliament Buildings - East Block,"This large gothic-styled complex, often reffered to as the ""Whitney Block"",  consists of four blocks that have different street addresses:  The Whitney Block at 99 Wellesley Street East; The Ferguson Block at 77 Wellesley Street East; The Hearst and Mowatt Blocks at 90 Bay Street and the Hepbourne Block at 80 Grosvenor Street.   They are connected to the Parliament Buildings by a 100 yard underground tunnel.",Legislative Buildings
1495,145 Annette Street,"Ellis & Connery (firm)
Sillaste & Nakashima (firm)",1909,,Annette Branch Library,"Established in 1888 as the West Toronto Mechanic's Institute.  Renamed Toronto Junction Library in 1895, then West Toronto Public Library in 1908-1909.  The Toronto Public Library took it over in 1909 and then it was called the Western Branch of the TPL.  It was named the Annette Street Branch in April 1962.",Libraries
1496,327 Bathurst Street,"Casey & Dunker Architects
Pentland Baker & Polson (firm)",,,Charles R. Sanderson Library,,Libraries
1497,1431 Bathurst Street,"Carter Phillip
Greenburg Ken
Smith Eden",1915-1917,,Wychwood Branch Library,,Libraries
1498,496 Birchmount Road,Fairfield & Dubois (firm),1971,,Albert Campbell Library,,Libraries
1499,1101 Bloor Street West,"Chapman & McGiffin (firm)
Walker Howard",1912,,Bloor Gladstone Library,,Libraries
1500,2118 Bloor Street West,"Lyle John
Montgomery Terry
Stinson Jeffery",1929,,Runnymede Library,,Libraries
1501,370 Broadview Avenue,"Hancock Noel
Simpson David",1908,,Riverdale Branch,,Libraries
1502,301 Burnhamthorpe Rd.,,,,Mississauga Central Library,,Libraries
1503,430 Burnhamthorpe Rd.,Teeple Stephen,2001,,Eatonville Branch Library,,Libraries
1504,214 College Street,,,,Central Reference Library,SEE under new building name:  Koffler Student Services Centre.,Libraries
1505,230 College Street,Kohn Shnier Architects (firm),1998,,Shore + Moffat Library,"SEE under building name:  Faculty of Architecture, Landscape and Design at the same address [library occupies 2nd floor]",Libraries
1506,239 College Street,Carter Phillip,1995,,Lillian Smith Library,,Libraries
1507,171 Front Street East,Carter Phillip,1983,,St. Lawrence Branch,,Libraries
1508,1432 Gerrard Street East,,1925,,Gerrard Ashdale Branch,,Libraries
1509,5 Hoskin Avenue,"Chapman & Oxley (firm)
Dick David",1881-1891,,Wycliffe College,,Libraries
1510,2 King Street (Weston),"Dunlop Farrow Aitken (firm)
Lindsay & Brydon (firm)",1914,,Weston Public Library,,Libraries
1511,7 King's College Circle,Dick David,1892,,University of Toronto Library,Now houses the Departments of English and French.,Libraries
1512,7 King's College Circle,"Diamond A.J. Donald Schmitt
Dick David",1892,,Gerstein Science Info Centre,,Libraries
1513,15 King's College Circle,Mathers & Haldenby (firm),,,University College Laidlaw Library,,Libraries
1514,127 Main Street,"Carter Phillip
Hynes & Feldman & Watson (firm)",1921,,Main Street Branch Library,,Libraries
1515,341 Oakwood Avenue,Diamond A.J. Donald Schmitt,1998,,Oakwood Village Library /Arts Centre,,Libraries
1516,701 Pape Avenue,"George, Moorehouse & King (firm)
Lett / Smith Architects (firm)
Sankey Partnership (firm)",1929,,Pape / Danforth Library,,Libraries
1517,406 Parliament Street,"Baird Sampson Architects. (firm)
Dunker and Associates (firm)
Eadie Arthur",1954,,Parliament Street Branch,,Libraries
1518,765 Queen Street East,Lennox Edward,1913,,Saulter Street Branch Library,"Functioned as Postal Station ""G"" for 61 years.  Closed in 1975 and remained vacant for almost five years until it was rescued by the community to serve as a library and function as part of the Ralph Thornton Community Centre (it is a tenant).",Libraries
1519,2161 Queen Street East,"Montgomery & Sisam Archts (firm)
Smith Eden
Stinson Jeffery",1915,,Beaches Branch Library,,Libraries
1520,1115 Queen Street West,,1909,,Parkdale Branch Library,"One of several ""Carnegie Libraries"" in Toronto.  Now the Beatrice Lillie Health Centre, a public health office.",Libraries
1521,71 Queen's Park Crescent E.,"Adamson Associates (firm)
Kohn Shnier Architects (firm)",1961,,E. J. Pratt Library,,Libraries
1522,228 Roncesvalles Avenue,Moffat Moffat & Kinoshita (firm),,,High Park Library,,Libraries
1523,40 St. Clair Avenue East,"Beck & Eadie (firm)
Shore Tilbe Henschel & Irwin (firm)",1952,,Deer Park Library,,Libraries
1524,40 St. George Street,Carter Phillip,,,Boys and Girls House,,Libraries
1525,130 St. George Street,Mathers & Haldenby (firm),1974,,Robarts Library,,Libraries
1526,214 Wright Avenue,"Moffat Moffat & Kinoshita (firm)
Smith Eden",1976,,High Park Library,,Libraries
1527,215 Yonge Boulevard,Diamond A.J. Donald Schmitt,1986,,Burns Hall,Part of the former NATO officers'  training school.,Libraries
1528,789 Yonge Street,"Moriyama Ajon
Moriyama & Teshima (firm)",1977,,Toronto Reference Library,Formerly the Metropolitan Toronto Reference Library.  (Name changed with the city amalgamation of 1998)   The building that occupied the site of the library housed the the first Victoria College medical school.  See also:  no.10 Asquith Avenue.,Libraries
1529,3083 Yonge Street,"Beck & Eadie (firm)
Stinson Montgomery & Sisam (firm)",1949,,George H. Locke Memorial Library,,Libraries
1530,5120 Yonge Street,"Moriyama Raymond
Moriyama & Teshima (firm)",,,North York Central Library,,Libraries
1531,0 Toronto Island(s),,1806,,Lighthouse,,Lighthouses
1532,1 Austin Terrace,Lennox Edward,1913,,Casa Loma,"After the castle was vacated by the Pellatts, it was owned by Toronto architect William F. Sparling, who converted and operated it as the ""Casa Loma Hotel"" from 1925-1929.  It then was re-gained by the Lady Pellatt estate, which operated it for another six months.  In 1934 it was purchased  by the City of Toronto for $27,305.45.  In 1937, the Kiwanis Club began leasing the property from the city in order to operate a tourist facility.",Mansions
1533,350 Avenue Road,Brown A. Page,1888-1890,Nov. 1932,Benvenuto,Originally the home of Simeon Henan Janes.  Sold to Sir William Mackenzie (died 1924) in 1897.  Demolished in 1932.  Site now occupied by the Benvenuto Apartments (1955) SEE: no. 1 Benvenuto Place.  Original wrought and cast iron gates at no. 40-42 Burton Road.,Mansions
1534,275 Bay Street,"Irving William
Sheard Joseph",,1947,Cawthra House,"Originally built for William Cawthra.  It later became the office of Molson's Bank, then the Streling Bank, and then by insurance agencies and other businesses.  Demolished in May, 1948 to make way for the Bank of Nova Scotia - SEE: no.44 KIng Street West.",Mansions
1535,0 Bayview Avenue,"Marani Lawson & Morris (firm)
Smith Eden",early 1920s,yes. date?,Uplands,Built by Eden Smith for surgeon Herbert Bruce.  SEE ALSO no.2 Valleyanna Drive for the coach house that belonged to the estate.,Mansions
1536,4 Beaumont Road,,1909,,,Built by a mining magnate.,Mansions
1537,136 Beverley Street,,1871,,Chudleigh,"Originally the home of George L. Beardmore.  Three years after his death in 1934, the house became the Italian Consulate.  During World War II, the house was was confiscated as ""alien territory"", and from 1943-1961 the Royal Canadian Mounted Police utilised it a headquarters and barracks.  The Italian gvernment bought the property back in 1961, and now it functions again as the Italian Consulate.",Mansions
1538,0 Bridle Path,,1980s,,,,Mansions
1539,0 Bridle Path,,,,,"""Bridle Path Area""",Mansions
1540,0 Bridle Path,,,,,,Mansions
1541,8 Castle Frank Road,"George Allan
Moorehouse & King (firm)",1926,,Larkin House,Former residence of Gerald Larkin.,Mansions
1542,0 Castlefield Avenue,,late 1820s?,1918,Castlefield,Originally the home of James Hervey Price.  Sold to Franklin Jackes in 1842. Sold to developers in 1885 and demolished in 1918 to make way for Duplex Avenue.,Mansions
1543,6 Clarendon Avenue,"Band Charles P.
George, Moorehouse & King (firm)",,,6 Clarendon Avenue,,Mansions
1544,146 Crescent Road,Sproatt & Rolph (firm),1902-1903,,Baillie House,Originally the home of Sir Frank Baillie.  Sold by his widow after his death in 1920.  Became the home of the Rosedale-Moore Park Community Association in the 1940s.,Mansions
1545,480 Davenport Road,Wickson & Gregg (firm),1909-1911,1936,Ardwold,,Mansions
1546,105 Dunvegan Road,,,,,,Mansions
1547,119 Dunvegan Road,Marani Lawson & Paisley (firm),,,,,Mansions
1548,2 Elm Avenue,"Gundry & Langley (firm)
Smith & Gemmell (firm)",1866,,Glen Hurst,"Originally the home of Edgar Jarvis.  In the 1890s, the street address was 75 Park Road.  In 1948, the property was sold to Branksome Hall School, a private school for girls, and the house was converted into classroooms.  In the recent past, the house has been known as ""Readacres"".",Mansions
1549,131 Farnham Avenue,"Gordon & Helliwell (firm)
Gundry & Langley (firm)
Hay William
Medwecki Joseph A.",1860,,Oaklands,Original owner was John Macdonald.  House is now part of the De La Salle College Oaklands.,Mansions
1550,44 Front Street West,Baldwin William,1835,1889,William Warren Baldwin House,,Mansions
1551,0 Glen Edyth Place,,1872,1929,Glen Edyth,Originally the home of Samuel and Edith Nordheimer.,Mansions
1552,51 Glen Road,,1903,,Ambrose Small House,,Mansions
1553,45 Glen Stewart Crescent,Darling Frank,c1873,,Glen Stewart,"Home of A.E. Ames.  Used as the official residence of Governor General Earl Grey in May 1905 and 1906.  Initial address was 625 Kingston Road. For the estate's Coach House / Garage, SEE: 34 Long Crescent.",Mansions
1554,162 Isabella Street,Miller George,1891,1960,Cox Mansion,,Mansions
1555,515 Jarvis Street,"Gundry & Langley (firm)
Langley Langley & Burke (firm)
Lennox Edward
Miller George",1868,,Euclid Hall,"Initially the home of farm equipment magnate Hart A. Massey.  Today the house survives as the ""Keg Mansion"".",Mansions
1556,515 Jarvis Street,,,,Keg Mansion,SEE under building name:  Euclid Hall (same address).,Mansions
1557,182 Lowther Avenue,Langley & Burke (firm),1889-1890,,Timothy Eaton House,,Mansions
1558,3 Meredith Crescent,Langley Langley & Burke (firm),1876,,Lorne Hall,,Mansions
1559,61 Park Lane Circle,,c1999,,,,Mansions
1560,79 Prince Arthur Avenue,Roberts David Junior,1889-1891,,Thomas G. Blackstone House,Demolished during the building of the Bloor Street Line of the Toronto Subway.,Mansions
1561,3025 Queen Street East,Lennox Edward,1892,,Chateau Des Quatre Vents,House situated off of Rockway Avenue.  Originally a 30-room home and later converted to six apartments.  1910 addition by E.J. Lennox.,Mansions
1562,78 Queen's Park,Darling & Pearson (firm),1901-1902,,Flavelle House,"Originally called ""Holwood"" the mansion was built by Joseph Flavelle, president of the William Davies Co., forerunner of Canada Packers.  Now functions as the centre of the University of Toronto's Faculty of Law.  Law library was added in 1961 by Hart Massey with William J. McBain.",Mansions
1563,210 Russell Hill Road,,late 1940s?,,,,Mansions
1564,99 St. George Street,Darling & Pearson (firm),1882,1969,Long Garth,Also known as the Sir. Edmund Walker House.  Darling & Pearson responsible for the second floor (1902) as well as the second wind (1905).,Mansions
1565,219 St. George Street,,1883,,,Originally owned by the Gooderham family.  Not to be confused with the George Gooderham house that became the York Club (135 St. Goerge St.).,Mansions
1566,36 Walmer Road,,c1908,,Gurney Residence,Initially the home of Edward Gurney.,Mansions
1567,6 Warren Road,Burden Henry,1937-1939,,,Built for John David Eaton.,Mansions
1568,235 Warren Road,,,,,,Mansions
1569,2 Wellesley Place,Gibson Charles,1899,,,Originally the R.M. Simpson House.,Mansions
1570,61 Wellington Street West,Howard John,,1904,Holland House,Originally the home of Hon. Henry John Boulton.,Mansions
1571,561 Danforth Avenue,,,,Sunland Fruit Market,Previously known as the Sunkist Fruit Market,Markets
1572,80 Davenport Road,,,,Jesse Ketchum Market,,Markets
1573,90 Davenport Road,,,,Dowson's Confectionary Store,,Markets
1574,91 Front Street East,,1844,,St. Lawrence Market South,,Markets
1575,92 Front Street East,Sutherland J.G.,1968,,St. Lawrence Market North,SEE ALSO:  St. Lawrence Market South at no.91 Front Street East.  This building replaced a 90-year old Farmers' Market on the same site.,Markets
1576,234 Queen Street West,"Price G.F.W.
Young Thomas",c1854;1912,,St. Patrick's Market,Occupies no. 234-240 Queen Street West.  The first market was built around 1845.   The second market was built in 1854 and design by Thomas Young.  The third (present) market was built 1912-1913 by City Architect G.F.W. Price.,Markets
1577,0 Exhibition Place,"Chapman & Oxley (firm)
Cullivan & Fried (firm)",1927,,Princes' Gates,,Memorial Arches
1578,0 Brunswick Avenue,Redsell-Fellow Pauline,1973,,Margaret Fairley Memorial,Located on the east side of Margaret Fairley Park.,Memorials
1579,65 Church Street,Sproatt & Rolph (firm),1924,,St. James Cathedral - Memorial Cross,Erected in 1924 to honour the 48 parishioners who died in the First World War.,Memorials
1580,7 Hart House Circle,Sproatt & Rolph (firm),1924,,Soldiers' Memorial Tower,Situated between University College and Hart House.  It was added to Hart House to commemorate students and alumni who lost their lives in World War I (and later World War II).,Memorials
1581,0 Lake Shore Boulevard West,d'Wonnick Richard,"1896, 1968",,Sir Casimir Gzowski Memorial,,Memorials
1582,0 Lake Shore Boulevard West,,1926,,Ned Hanlan memorial,Located in Exhibition Park.,Memorials
1583,0 Mount Pleasant Cemetery,Thomas William,c1860,,William Thomas Monument,,Memorials
1584,635 Parliament Street,,,,Gzowski Monument,,Memorials
1585,0 Portland Street,Allward Walter,1902-1906,,War of 1812 Memorial,"Located in Victoria Memorial Park.  Funded by the ""British army and Navy veterans residing in Toronto""...",Memorials
1586,0 Queen's Park,Mathers & Haldenby (firm),1923,,Forty-Eighth Highlanders Regimental Memorial,,Memorials
1587,0 Roncesvalles Avenue,Janowski Tadeusz,1980,,Katyn Memorial,"The Canadian Polish Congress sponsored and financed this monument in remembrance of the 15,000 Polish Officers who disappeared from prisoner-of-war camps in the USSR during the spring of 1940.",Memorials
1588,0 University Avenue,,1984,,Canadian Airmens' Memorial,"Title of the work is actually ""Per ardua ad astra"".  It was donated to the municipality of Metropolitan Toronto by Henry R. Jackman and the Jackman Foundation.    Inscription says:  ""In memory of our Canadian airmen who fought in the skies to preserve freedom and order in this world"".",Memorials
1589,0 University Avenue,,1933,,Adam Beck Memorial,,Memorials
1590,0 University Avenue,,1910,,South African War Memorial,,Memorials
1591,0 Heath Street West,,c1891,,Deer Park Sanatorium,Later called Dr. Meyers' Private Hospital for Nervous Diseases,Mental Health Facilities
1592,0 Lake Shore Boulevard West,,c1890s,,Lakeshore Psychiatric Hospital,Hospital founded in the late 1800s and major construction took place in the late 1890s when the central group of residential blocks was constructed.   Now part of the Humber College Lakeshore Campus.,Mental Health Facilities
1593,999 Queen Street West,"Cumberland Frederic
Howard John
Sommerville McMurrich & Oxley (firm)
Tully Kivas",1858,1975-1976,Queen St. Mental Health Ctr.,"Initially called the Provincial Lunatic Asylum.  First, main block by John Howard (1844-1858).  Wings added by Kivas Tully (c.1866-1869).  Fred Cumberland designed several outbuildings.  Name changed to the Queen Street Mental Health Centre in the 1950s.  The street address was changed to no. 1001 Queen Street West in the late 1970s.",Mental Health Facilities
1594,621 King Street West,,,,Executive Motor Hotel,,Motels
1595,2095 Lake Shore Boulevard West,,,,Seahorse Motor Hotel,,Motels
1596,253 Bloor Street West,,,,Royal Ontario Museum,SEE:  100 Queen's Park.,Museums
1597,327 Bloor Street West,Moriyama & Teshima (firm),,,Bata Shoe Museum,,Museums
1598,0 Exhibition Place,Reich & Petch Architects (firm),,,Marine Museum,"Formerly the Officers' Quarters (and only surviving building) of Stanley Barracks, also known as the ""New Fort"", constructed 1840-1841.   For Marine Museum #2,  SEE:  the Pier 4 at no.245 Queen's Quay West.",Museums
1599,67 Pottery Road,,1820s,,Todmorden Mills,"""Community"" museum features remaining buildings of a thriving 19th century industrial village.  Features the restored Parshall Terry House, the Thomas Helliwell House and the remains of the Helliwell Brewery. Also includes the restored Don Train Station, which was relocated there from its location near Queen St. East in 1969.",Museums
1600,90 Queen's Park,,,,Children's Own Museum,"Formerly the McLaughlin Planetarium - which was operated by the Royal Ontario Museum.  It closed on November 5th, 1995 due to budget restraints.  The Children's Own Museum officially opened on Dec. 6th, 1998.  It rents the space from the Royal Ontario Museum.",Museums
1601,100 Queen's Park,"Chapman & Oxley (firm)
Darling & Pearson (firm)
Libeskind Daniel
Mathers & Haldenby (firm)
Moffat Moffat & Kinoshita (firm)",1912,,Royal Ontario Museum,,Museums
1602,111 Queen's Park,"Kuwabara Payne McKenna Blumberg (firm)
Wagland Keith",,,George R. Gardiner Museum,George R. Gardiner Museum of Ceramic Art,Museums
1603,111 Queen's Park,,,,Gardiner Museum,SEE:   George R. Gardiner Museum of Ceramic Art,Museums
1604,14 Queen's Park Crescent W.,Mathers & Haldenby (firm),1951,,Canadiana Building - ROM,,Museums
1605,255 Spadina Avenue,Zeidler Eberhard,1992,,Metro Archives,,Museums
1606,273 Bloor Street West,"Kuwabara Payne McKenna Blumberg (firm)
Langley Langley & Burke (firm)",,,Royal Conservatory of Music,"Formerly McMaster Hall, originally a Baptist seminary.  Became occupied by the Royal Conservatory of Music in 1963.  The auditorium, renamed the Ettore Mazzoleni Concert Hall was restored and renovated by Kuwabara Payne McKenna Blumberg (officially opened Oct. 17, 1997).",Music Schools
1607,80 Queen's Park Crescent W.,Adamson Associates (firm),,,Edward Johnson Building,,Music Schools
1608,0 Annex Neighbourhood,,,,Annex Neighbourhood,,Neighbourhoods
1609,0 Bayview Avenue,"Brown and Storey Archts. (firm)
Kirkland Partnership (firm)
Teeple Stephen",never.,,Aratiri Neighbourhood,,Neighbourhoods
1610,0 Bennington Heights Nghbd,,,,Bennington Heights Nghbd,,Neighbourhoods
1611,0 Bridle Path Neighbourhood,,,,Bridle Path Neighbourhood,,Neighbourhoods
1612,0 Browns Line,,,,Long Branch Neighbourhood,,Neighbourhoods
1613,0 Cabbagetown Neighbourhood,,,,Cabbagetown Neighbourhood,,Neighbourhoods
1614,0 Church Street,,,,Church / Wellesley Neighbourhd,,Neighbourhoods
1615,0 Deer Park Neighbourhood,,,,Deer Park Neighbourhood,,Neighbourhoods
1616,0 Don Mills Neighbourhood,"Bach Michael
Crang & Boake (firm)
Crawford & Hassig (firm)
Fliess Henry
Grossman Irving
Kohl Harry
Lee Douglas H.
Murray James
Venchiarutti Leo E.",,,Don Mills Neighbourhood,"Planned community offered 40 house styles by 13 different architects.  ""Chief"" architect was Douglas H. Lee.",Neighbourhoods
1617,0 Financial District,,,,Financial District Neighbourhood,,Neighbourhoods
1618,0 Forest Hill Neighbourhood,,,,Forest Hill Neighbourhood,,Neighbourhoods
1619,0 Humber Valley Village,,,,Humber Valley Village,"Part of the area 9Humbert valley Surveys) developed by Robert Home Smith, 1912-1915",Neighbourhoods
1620,0 Junction District,,,,Junction District,,Neighbourhoods
1621,0 King Street East,,,,Industrial Area,,Neighbourhoods
1622,0 King Street West,,,,Industrial Area,SEE ALSO:  Liberty Village.,Neighbourhoods
1623,0 King Street West,,,,Liberty Village,"Area bounded roughly by King St. West, Dufferin, and the Gardiner Expressway.  SEE ALSO:  ""Industrial Area"" under a BUILDING NAME search.",Neighbourhoods
1624,0 Kingsway Neighbourhood,Home Smith Robert,,,Kingsway Neighbourhood,"Part of the area (Humber Valley Surveys) developed by Robert Home Smith, c1912-1915.",Neighbourhoods
1625,0 Leaside Neighbourhood,,,,Leaside Neighbourhood,,Neighbourhoods
1626,0 Mount Dennis Neihgbourhd,,,,Mount Dennis Neighbourhood,,Neighbourhoods
1627,0 Old Town Neighbourhood,,,,Old Town Neighbourhood,SEE:  St. Lawrence Neighbourhood,Neighbourhoods
1628,0 Parkdale Neighbourhood,,,,Parkdale Neighbourhood,,Neighbourhoods
1629,0 Queen Street East,,,,Beach Project,,Neighbourhoods
1630,0 Riverdale Neighbourhood,,,,Riverdale Neighbourhood,,Neighbourhoods
1631,0 Rosedale Neighbourhood,,,,Rosedale Neighbourhood,,Neighbourhoods
1632,0 Spadina Avenue,,,,Chinatown,,Neighbourhoods
1633,0 St. Lawrence Neighbourhd.,,,,St. Lawrence Neighbourhood,,Neighbourhoods
1634,0 St. Lawrence Neighbourhd.,Spaziani Michael,,,C-2 Block,,Neighbourhoods
1635,0 Swansea Neighbourhood,,,,Swansea Neighbourhood,,Neighbourhoods
1636,1 Swansea Neighbourhood,,,,Swansea Neighbourhood,,Neighbourhoods
1637,0 Thorncliffe Park Neighbhd,,,,Thorncliffe Park Neighbourhood,,Neighbourhoods
1638,0 Wychwood Park Neighbourhd,,,,Wychwood Park Neighbourhood,,Neighbourhoods
1639,0 Yonge Street,,,,Northtown,"21-acre planned comunity bounded by Yonge, Byng Ave. on the North, keenedy Ave. to the east and Church Ave. to the South.  Developed in four ""neighbourhoods"".",Neighbourhoods
1640,0 Yonge Street,,,,Yonge & St. Clair Intersection,SEE ALSO:  Deer Park Neighbourhood,Neighbourhoods
1641,1601 Lake Shore Boulevard West,Chapman Oxley & Bishop (firm),1921,,Palais Royale,"Ravaged by fire December 30, 1999.",Nightclubs
1642,269 Queen Street West,Yabu Pushelberg (firm),c1998,,Void,,Nightclubs
1643,410 Sherbourne Street,,,,Diamond  Club,,Nightclubs
1644,14 Hart House Circle,Cumberland & Storm (firm),1856,,Royal Magnetical Observatory,Also known as the Royal Magnetic and Meteorological Observatory and then known as the Stewart Observatory.  in 1908 the building was re-erected on a site south of Hart House and east of University College (originally it stood southeast of the present-day Convocation Hall).  It is now used as the Students' Administrative Council Building.,Observatories
1645,1 Abbey Lane,Edwards Robert J.,1998,,TEST1MARCH252002,,Office Buildings
1646,0 Adelaide Street East,Lennox Edward,1889-1890,,Freehold Loan and Savings Co.,,Office Buildings
1647,6 Adelaide Street East,MacKenzie J.A.,,,Lumsden Building,,Office Buildings
1648,10 Adelaide Street East,Gouinlock George,1908,,,,Office Buildings
1649,20 Adelaide Street East,,ca 1878,,Equity Chambers,,Office Buildings
1650,32 Adelaide Street East,Langley Langley & Burke (firm),1874-1875,,Imperial Chambers,Occupied street nos.32-34 Adelaide Street East.,Office Buildings
1651,39 Adelaide Street East,Smith & Gemmell (firm),1875,,Millichamps Building,,Office Buildings
1652,252 Adelaide Street East,"Baldwin William
Cumberland & Ridout (firm)
Howard John
Langley Henry
Stone & Kohn (firm)",1825-1827,,Bank of Upper Canada,,Office Buildings
1653,311 Adelaide Street East,Moffat Moffat & Kinoshita (firm),,,Manta Sound,,Office Buildings
1654,100 Adelaide Street West,Baldwin & Greene (firm),1928,,Concourse Building,"Archway features symbols of Canadian industry and was created by J.E.H. Macdonald in 1928.  The building's owner, Oxford Properties, plans to replace the building with a 41-storey office tower, keeping the facade of the first three floors and restoring the lobby.  The name of the new building will be the Richmond Adelaide Centre.",Office Buildings
1655,120 Adelaide Street West,Zeidler Roberts Partnership,,,,,Office Buildings
1656,130 Adelaide Street West,Zeidler Roberts Partnership,,,,,Office Buildings
1657,200 Adelaide Street West,Dunlop Farrow Aitken (firm),,,,Originally a jewellery factory at the turn of the century.,Office Buildings
1658,0 Bay Street,Lennox Edward,1886,,Ontario Medical Council Bldg.,,Office Buildings
1659,20 Bay Street,Bregman + Hamann Architects,c1986,,Waterpark Place,,Office Buildings
1660,181 Bay Street,Kuwabara Payne McKenna Blumberg (firm),1995,,Gluskin Sheff + Associates,Situated on the 46th floor of the Bay-Wellington Tower.,Office Buildings
1661,182 Bay Street,Gouinlock George,1985,1970,Temple Building,"Address also is given as nos.62-67 Richmond Street West.  Originally was the North American headquarters of the Independent Order of Foresters (a men's service club), and was one of the first true sykscrapers in Toronto.  It was demolished in 1970/1971 to make way for the 32-storey Munich Reinsurance Building.",Office Buildings
1662,220 Bay Street,Page & Steele (firm),,,Bay-Wellington Building,,Office Buildings
1663,243 Bay Street,Miller George,1909,1969,Toronto General Trust Building,,Office Buildings
1664,313 Bay Street,,c1949,,Woolworth Building,,Office Buildings
1665,320 Bay Street,"Mathers & Haldenby (firm)
Sproatt & Rolph (firm)
Westneys & Stern (firm)
Wilkes F. Hilton",c1928,,Canada Permanent Building,Architects vary in some sources.,Office Buildings
1666,347 Bay Street,Chapman & Oxley (firm),1928,,National Building,,Office Buildings
1667,401 Bay Street,Parkin John B.,,,Simpsons Tower,See also: 160 Yonge Street (Simpson's Department Store),Office Buildings
1668,483 Bay Street,Parkin Partnership (firm),1983,,Bell Trinity Square,,Office Buildings
1669,801 Bay Street,Ghanim Zak,,,,,Office Buildings
1670,2 Berkeley Street,"Diamond A.J. Donald Schmitt
Gibson Charles",c1870,,Berkeley Castle,"Originally the Toronto Knitting Factory, the city's first knitting mill.  Initial date varies in some sources (from 1866 to 1868).  Additions by Charles J. Gibson in 1896, 1898, 1905 and 1909.  Remodelled by A.J. Diamond & Partners, 1979-1982.",Office Buildings
1671,11 Bishop Street,Myers Barton,1985,,Gottschalk & Ash Head Office,,Office Buildings
1672,100 Bloor Street East,"Marani & Morris (firm)
Sproatt & Rolph (firm)",,,Manufacturer's Life Building,"Part of complex consisting of:  Original building at 100 Bloor Street East by Sproat & Rolph (1924-26) with additions by Marani & Morris (1953).  North Tower by Clifford Lawrie Bolton Ritchie 91983) and 250 Bloor Street East by Marani Rounthwaite & Dick, 1968.",Office Buildings
1673,120 Bloor Street East,Marani & Morris (firm),1956,,Crown Life Insurance Co.,,Office Buildings
1674,121 Bloor Street East,"Horn David
Page & Steele (firm)",1983,,New York Life,,Office Buildings
1675,121 Bloor Street East,Kuwabara Payne McKenna Blumberg (firm),1995-1996,,Alliance Communications Corp,Alliance offices occupy three contiguos floors in the office building.,Office Buildings
1676,160 Bloor Street East,Bregman + Hamann Architects,,,,,Office Buildings
1677,175 Bloor Street East,NORR Partnership Ltd. (firm),,,Crown Life Place,,Office Buildings
1678,200 Bloor Street East,Clifford Lawrie Bolton Ritchie (firm),,,Manufacturer's Life North Towr,"Part of complex consisting of:  Original building at 100 Bloor Street East by Sproat & Rolph (1924-26) with additions by Marani & Morris (1953).  North Tower by Clifford Lawrie Bolton Ritchie 91983) and 250 Bloor Street East by Marani Rounthwaite & Dick, 1968.",Office Buildings
1679,321 Bloor Street East,Marani & Morris (firm),1954-1955,,Confederation Life Insurance,,Office Buildings
